parent_notice,ark_periodique,ark,numero,gallica_url,text_brut,ark,date
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t541960093,14 juin 1924,https://gallica.bnf.fr/ark:/12148/bd6t541960093,https://gallica.bnf.fr/ark:/12148/bd6t541960093.texteBrut,ark:/12148/bd6t541960093,1924-06-14
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t54196010r,21 juin 1924,https://gallica.bnf.fr/ark:/12148/bd6t54196010r,https://gallica.bnf.fr/ark:/12148/bd6t54196010r.texteBrut,ark:/12148/bd6t54196010r,1924-06-21
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t541960115,28 juin 1924,https://gallica.bnf.fr/ark:/12148/bd6t541960115,https://gallica.bnf.fr/ark:/12148/bd6t541960115.texteBrut,ark:/12148/bd6t541960115,1924-06-28
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t54196012k,12 juillet 1924,https://gallica.bnf.fr/ark:/12148/bd6t54196012k,https://gallica.bnf.fr/ark:/12148/bd6t54196012k.texteBrut,ark:/12148/bd6t54196012k,1924-07-12
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t541960130,19 juillet 1924,https://gallica.bnf.fr/ark:/12148/bd6t541960130,https://gallica.bnf.fr/ark:/12148/bd6t541960130.texteBrut,ark:/12148/bd6t541960130,1924-07-19
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t54196014d,26 juillet 1924,https://gallica.bnf.fr/ark:/12148/bd6t54196014d,https://gallica.bnf.fr/ark:/12148/bd6t54196014d.texteBrut,ark:/12148/bd6t54196014d,1924-07-26
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t54196015t,02 août 1924,https://gallica.bnf.fr/ark:/12148/bd6t54196015t,https://gallica.bnf.fr/ark:/12148/bd6t54196015t.texteBrut,ark:/12148/bd6t54196015t,1924-08-02
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t541960167,09 août 1924,https://gallica.bnf.fr/ark:/12148/bd6t541960167,https://gallica.bnf.fr/ark:/12148/bd6t541960167.texteBrut,ark:/12148/bd6t541960167,1924-08-09
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t54196017n,16 août 1924,https://gallica.bnf.fr/ark:/12148/bd6t54196017n,https://gallica.bnf.fr/ark:/12148/bd6t54196017n.texteBrut,ark:/12148/bd6t54196017n,1924-08-16
34348401,ark:/12148/cb32750072r/date,ark:/12148/bd6t541960182,23 août 1924,https://gallica.bnf.fr/ark:/12148/bd6t541960182,https://gallica.bnf.fr/ark:/12148/bd6t541960182.texteBrut,ark:/12148/bd6t541960182,1924-08-23
